Day,Date High,High,Date Low, Low , Closing , No. of Trades , No. of Shares , Turnover ,Last Traded,Days Traded
8/18/2010,18-Aug-10,369,18-Aug-10,364,365.2,48,43100.00,15780610.00,18-Aug-10,1
8/19/2010,19-Aug-10,370,19-Aug-10,365,369.3,47,104800.00,38348320.00,19-Aug-10,1
8/20/2010,20-Aug-10,370,20-Aug-10,365,365.2,71,91600.00,33526280.00,20-Aug-10,1
8/23/2010,23-Aug-10,365.2,23-Aug-10,364,364.6,52,26100.00,9521880.00,23-Aug-10,1
8/25/2010,25-Aug-10,370,25-Aug-10,366,368.6,47,43200.00,15948790.00,25-Aug-10,1
8/26/2010,26-Aug-10,369,26-Aug-10,365,367.9,16,7500.00,2762450.00,26-Aug-10,1
8/27/2010,27-Aug-10,370,27-Aug-10,367,369.6,35,15800.00,5832480.00,27-Aug-10,1
8/30/2010,30-Aug-10,370,30-Aug-10,366,366.8,34,41200.00,15182160.00,30-Aug-10,1
8/31/2010,31-Aug-10,372,31-Aug-10,367,369.8,83,93600.00,34609960.00,31-Aug-10,1
9/1/2010,1-Sep-10,370,1-Sep-10,367.9,369.9,61,49600.00,18330990.00,1-Sep-10,1
9/2/2010,2-Sep-10,385,2-Sep-10,374,378,108,132900.00,50156770.00,2-Sep-10,1
9/3/2010,3-Sep-10,400,3-Sep-10,380,387.6,133,117800.00,45506640.00,3-Sep-10,1
9/6/2010,6-Sep-10,395,6-Sep-10,385,389.4,80,94900.00,36885230.00,6-Sep-10,1
9/7/2010,7-Sep-10,411,7-Sep-10,390,409.5,229,296000.00,118272960.00,7-Sep-10,1
9/8/2010,8-Sep-10,413,8-Sep-10,406,407.6,97,45100.00,18451420.00,8-Sep-10,1
9/9/2010,9-Sep-10,409,9-Sep-10,402,404,51,43300.00,17542290.00,9-Sep-10,1
9/13/2010,13-Sep-10,408,13-Sep-10,400,400,72,40200.00,16147870.00,13-Sep-10,1
9/14/2010,14-Sep-10,410,14-Sep-10,396.1,399.8,89,69600.00,27974840.00,14-Sep-10,1
9/15/2010,15-Sep-10,408,15-Sep-10,395,404.9,148,403300.00,162718620.00,15-Sep-10,1
9/16/2010,16-Sep-10,428,16-Sep-10,405,425.1,115,224200.00,93027780.00,16-Sep-10,1
9/17/2010,17-Sep-10,450,17-Sep-10,430,433.7,165,466100.00,201274580.00,17-Sep-10,1
9/20/2010,20-Sep-10,457,20-Sep-10,435,449.9,270,179500.00,80077340.00,20-Sep-10,1
9/21/2010,21-Sep-10,470,21-Sep-10,451,461.3,163,77900.00,35805810.00,21-Sep-10,1
9/23/2010,23-Sep-10,505,23-Sep-10,470,493.6,201,295400.00,142204480.00,23-Sep-10,1
9/24/2010,24-Sep-10,550,24-Sep-10,505,519.7,294,339000.00,176074730.00,24-Sep-10,1
