Day,Date High,High,Date Low, Low , Closing , No. of Trades , No. of Shares , Turnover ,Last Traded,Days Traded
2/8/2010,8-Feb-10,226,8-Feb-10,223,224.75,28,32200.00,7240600.00,8-Feb-10,1
2/9/2010,9-Feb-10,225,9-Feb-10,220.5,224.75,31,81900.00,18228000.00,9-Feb-10,1
2/10/2010,10-Feb-10,221,10-Feb-10,220,220.25,24,21500.00,4734125.00,10-Feb-10,1
2/11/2010,11-Feb-10,220,11-Feb-10,216,216.75,19,5100.00,1110500.00,11-Feb-10,1
2/12/2010,12-Feb-10,220,12-Feb-10,215,215.75,33,35000.00,7560250.00,12-Feb-10,1
2/15/2010,15-Feb-10,215.5,15-Feb-10,210,212.5,23,115800.00,24898625.00,15-Feb-10,1
2/16/2010,16-Feb-10,213.5,16-Feb-10,211,212.25,13,54000.00,11595375.00,16-Feb-10,1
2/17/2010,17-Feb-10,224,17-Feb-10,213,220.25,36,1452500.00,319535150.00,17-Feb-10,1
2/18/2010,18-Feb-10,230,18-Feb-10,224.75,227.75,43,21400.00,4874050.00,18-Feb-10,1
2/19/2010,19-Feb-10,230,19-Feb-10,224,229,4,2300.00,526950.00,19-Feb-10,1
2/22/2010,22-Feb-10,229.75,22-Feb-10,220.25,228.5,22,26500.00,5967350.00,22-Feb-10,1
2/23/2010,23-Feb-10,232,23-Feb-10,229.75,231,25,17100.00,3936750.00,23-Feb-10,1
2/24/2010,24-Feb-10,232,24-Feb-10,230,230.25,35,9700.00,2234825.00,24-Feb-10,1
2/25/2010,25-Feb-10,233,25-Feb-10,230.5,230.5,34,69300.00,15987000.00,25-Feb-10,1
2/26/2010,26-Feb-10,239,26-Feb-10,230.5,236.5,40,23500.00,5553875.00,26-Feb-10,1
3/1/2010,1-Mar-10,240,1-Mar-10,238,238.5,49,19300.00,4612225.00,1-Mar-10,1
3/2/2010,2-Mar-10,239,2-Mar-10,237,237.5,30,11700.00,2783525.00,2-Mar-10,1
3/3/2010,3-Mar-10,241,3-Mar-10,237,240.25,45,32500.00,7722875.00,3-Mar-10,1
3/4/2010,4-Mar-10,241.75,4-Mar-10,240,240.25,23,12100.00,2912400.00,4-Mar-10,1
3/5/2010,5-Mar-10,242.75,5-Mar-10,239.5,241.25,73,475000.00,114951900.00,5-Mar-10,1
3/8/2010,8-Mar-10,243,8-Mar-10,239,240,37,62800.00,15064600.00,8-Mar-10,1
3/9/2010,9-Mar-10,242,9-Mar-10,239,240,29,44000.00,10557075.00,9-Mar-10,1
3/10/2010,10-Mar-10,242.75,10-Mar-10,239.75,240,36,40100.00,9624175.00,10-Mar-10,1
3/11/2010,11-Mar-10,240.5,11-Mar-10,239,239.75,26,26300.00,6312150.00,11-Mar-10,1
3/12/2010,12-Mar-10,241,12-Mar-10,240,240.25,15,5600.00,1344150.00,12-Mar-10,1
3/15/2010,15-Mar-10,243,15-Mar-10,239,239,48,40200.00,9683925.00,15-Mar-10,1
3/26/2010,26-Mar-10,228,26-Mar-10,212.5,227.75,70,106800.00,24170125.00,26-Mar-10,1
3/30/2010,30-Mar-10,228.75,30-Mar-10,226,228.25,23,31000.00,7035300.00,30-Mar-10,1
3/31/2010,31-Mar-10,222.75,31-Mar-10,221.25,222,38,52200.00,11572875.00,31-Mar-10,1
4/1/2010,1-Apr-10,223,1-Apr-10,222,222.5,41,117600.00,26113175.00,1-Apr-10,1
4/5/2010,5-Apr-10,225,5-Apr-10,222,224,33,15000.00,3361200.00,5-Apr-10,1
4/6/2010,6-Apr-10,231,6-Apr-10,225,229.75,45,45000.00,10281400.00,6-Apr-10,1
4/7/2010,7-Apr-10,236,7-Apr-10,231,234.75,45,125900.00,29070000.00,7-Apr-10,1
4/8/2010,8-Apr-10,239.75,8-Apr-10,225.25,235.25,26,447200.00,103075100.00,8-Apr-10,1
4/12/2010,12-Apr-10,243.75,12-Apr-10,232,235,72,756000.00,174692225.00,12-Apr-10,1
4/15/2010,15-Apr-10,237,15-Apr-10,235,235,30,35200.00,8290250.00,15-Apr-10,1
4/16/2010,16-Apr-10,240,16-Apr-10,236,238.25,11,2300.00,546900.00,16-Apr-10,1
4/19/2010,19-Apr-10,255,19-Apr-10,238.5,254,108,132800.00,33204300.00,19-Apr-10,1
4/20/2010,20-Apr-10,260,20-Apr-10,251,256,104,1326400.00,332542250.00,20-Apr-10,1
4/21/2010,21-Apr-10,285,21-Apr-10,256,274.5,105,73300.00,19678975.00,21-Apr-10,1
4/22/2010,22-Apr-10,285,22-Apr-10,250,279.75,116,302700.00,84565350.00,22-Apr-10,1
4/23/2010,23-Apr-10,290,23-Apr-10,281,284.75,55,38700.00,11078475.00,23-Apr-10,1
4/26/2010,26-Apr-10,287.5,26-Apr-10,285,285.25,45,22900.00,6559625.00,26-Apr-10,1
4/27/2010,27-Apr-10,285,27-Apr-10,280,285,24,83700.00,23847550.00,27-Apr-10,1
4/29/2010,29-Apr-10,285,29-Apr-10,275,279.5,25,39300.00,11169000.00,29-Apr-10,1
4/30/2010,30-Apr-10,294,30-Apr-10,280.5,290.25,74,84400.00,24477900.00,30-Apr-10,1
5/3/2010,3-May-10,291,3-May-10,290,290,51,126500.00,36687550.00,3-May-10,1
5/4/2010,4-May-10,290,4-May-10,285,286.75,49,33500.00,9619900.00,4-May-10,1
5/5/2010,5-May-10,285,5-May-10,280,281.25,17,80900.00,23044825.00,5-May-10,1
5/6/2010,6-May-10,281,6-May-10,275,277.25,16,34400.00,9541650.00,6-May-10,1
5/7/2010,7-May-10,280,7-May-10,276,278.25,67,48500.00,13516750.00,7-May-10,1
5/10/2010,10-May-10,285,10-May-10,280,282.25,32,93200.00,26298775.00,10-May-10,1
5/11/2010,11-May-10,287,11-May-10,285,285.25,29,33600.00,9581050.00,11-May-10,1
5/12/2010,12-May-10,285,12-May-10,270,281.5,24,6100.00,1702475.00,12-May-10,1
5/13/2010,13-May-10,283,13-May-10,280,281.75,8,4700.00,1325500.00,13-May-10,1
5/14/2010,14-May-10,285,14-May-10,281,284.75,21,18300.00,5199350.00,14-May-10,1
5/17/2010,17-May-10,284,17-May-10,281,283.25,21,47700.00,13428275.00,17-May-10,1
5/18/2010,18-May-10,285,18-May-10,283,285,28,194400.00,55045825.00,18-May-10,1
5/19/2010,19-May-10,289,19-May-10,283,283.25,20,32900.00,9319700.00,19-May-10,1
5/20/2010,20-May-10,286,20-May-10,283,285,24,39000.00,11093700.00,20-May-10,1
5/21/2010,21-May-10,286.5,21-May-10,283.25,284,42,385300.00,109423475.00,21-May-10,1
5/24/2010,24-May-10,286,24-May-10,280,281,25,26200.00,7419475.00,24-May-10,1
5/25/2010,25-May-10,283,25-May-10,280.25,280.25,13,35300.00,9949950.00,25-May-10,1
5/26/2010,26-May-10,285,26-May-10,280,283.75,22,159500.00,45409100.00,26-May-10,1
5/31/2010,31-May-10,290,31-May-10,285,287.5,30,23000.00,6643450.00,31-May-10,1
6/1/2010,1-Jun-10,290.25,1-Jun-10,287.5,290,32,22100.00,6401575.00,1-Jun-10,1
6/2/2010,2-Jun-10,299.5,2-Jun-10,290,298.75,87,468500.00,140308075.00,2-Jun-10,1
6/3/2010,3-Jun-10,312,3-Jun-10,300,310.25,88,96200.00,29425275.00,3-Jun-10,1
6/4/2010,4-Jun-10,345,4-Jun-10,312,339.5,141,160000.00,53416225.00,4-Jun-10,1
6/7/2010,7-Jun-10,355,7-Jun-10,345,351.5,234,321900.00,113081850.00,7-Jun-10,1
6/8/2010,8-Jun-10,362,8-Jun-10,350,351,95,140000.00,49569150.00,8-Jun-10,1
6/9/2010,9-Jun-10,350,9-Jun-10,347.5,350,38,39200.00,13719500.00,9-Jun-10,1
